O1CN0102JRZn2Ihh5b0d5to_!!2487529318.jpg_400x400.jpg	3.1430797576904297,2.098735809326172,0.37753090262413025,2.986940860748291,0.915628969669342,3.641213893890381,5.52850866317749,2.0189614295959473,2.298038959503174,3.840177297592163
O1CN0102RsRl1RuonPcu2oj_!!2455962172.jpg_400x400.jpg	4.797433376312256,2.3814282417297363,2.569814443588257,2.9295802116394043,3.2974720001220703,2.776775598526001,3.874391794204712,1.9664158821105957,2.1241321563720703,1.2241945266723633
O1CN0103gQbZ1pn4wY6r9ad_!!1787605404-0-lubanu-s.jpg_400x400.jpg	2.6546640396118164,0.2841061055660248,1.053027629852295,0.04554428160190582,0.7981230020523071,0.7908868193626404,3.028498649597168,5.886285305023193,4.1692585945129395,3.7037205696105957
O1CN0103ygtR1TGAvkp4BiX_!!3470322354.jpg_400x400.jpg	2.542612075805664,2.39717698097229,3.827904462814331,4.076094627380371,3.805708885192871,2.624148368835449,6.338427543640137,3.8289120197296143,1.2447701692581177,-1.1198177337646484
O1CN0104qHMz1Ha4kxSRmdJ_!!449170773.jpg_400x400.jpg	4.40863561630249,3.7941908836364746,4.432495594024658,4.609166145324707,1.7227890491485596,2.963071584701538,3.2118635177612305,0.5965291261672974,2.1065845489501953,0.9696986079216003
O1CN0105VsSC1bQiydMsjEE_!!2222943460.jpg_400x400.jpg	2.789324998855591,2.920797109603882,0.6742225289344788,2.0073468685150146,2.925766944885254,3.031156301498413,5.018929481506348,2.7397570610046387,3.147704601287842,1.46574068069458
O1CN0105W4nS26rWDuikHhV_!!2259827715.jpg_400x400.jpg	7.648265838623047,3.188478469848633,5.584072113037109,3.747831344604492,2.076383113861084,4.638901233673096,2.2513222694396973,1.891424298286438,2.023528814315796,1.4913520812988281
O1CN0105sdSt2FT5fHUQvVU_!!2206731218880.jpg_400x400.jpg	4.5107421875,5.072065353393555,5.664680480957031,3.8162074089050293,5.5284953117370605,3.8488779067993164,5.739064693450928,2.7954764366149902,1.7824535369873047,-0.3187185227870941
O1CN01066MxO247bEpCbh0b_!!3240517344.jpg_400x400.jpg	3.7098662853240967,2.9928014278411865,2.36195969581604,2.7378880977630615,0.845199465751648,3.2314462661743164,3.7894930839538574,2.7173335552215576,2.554105520248413,0.27151066064834595
O1CN01082ijA2HTCuasF4wj_!!1940689151.jpg_400x400.jpg	4.848618984222412,1.077035665512085,3.223041534423828,1.847373127937317,1.7124500274658203,3.133225917816162,6.547780513763428,2.8368043899536133,3.9878592491149902,3.1658449172973633
